CompanyName,Address,City,State,ZIPCode,PrimarySICCode,PrimarySICDescription,SICCode1,SICCode1Description,Latitude,Longitude
Gulia Mini Mart,10905 Gratiot Ave,Detroit,MI,48213,541105,Grocers-Retail,541105,Grocers-Retail,42.4053433,-82.997632
H & S Castle Party Store,10035 Plymouth Rd,Detroit,MI,48204,541105,Grocers-Retail,541105,Grocers-Retail,42.37340525,-83.15893777
Harbortown Supermarket,3472 E Jefferson Ave,Detroit,MI,48207,541105,Grocers-Retail,541105,Grocers-Retail,42.34198329,-83.0137212
Harding's Friendly Market,10501 E Warren Ave,Detroit,MI,48214,541105,Grocers-Retail,541105,Grocers-Retail,42.3842574,-82.9923165
Harper Food Ctr,13999 Harper Ave,Detroit,MI,48213,541105,Grocers-Retail,541105,Grocers-Retail,42.40375527,-82.96800347
Harper Mini Mart LLC,17017 Harper Ave,Detroit,MI,48224,554101,Service Stations-Gasoline & Oil,554101,Service Stations-Gasoline & Oil,42.41638466,-82.93696258
Hi Eight,8065 W 8 Mile Rd,Detroit,MI,48221,541105,Grocers-Retail,541105,Grocers-Retail,42.44578352,-83.15144116
Hibbard Market Place,8935 E Jefferson Ave,Detroit,MI,48214,541101,Food Markets,541101,Food Markets,42.35706077,-82.98698201
Holiday's Party Store,8201 Joy Rd,Detroit,MI,48204,541105,Grocers-Retail,541105,Grocers-Retail,42.3588406,-83.1498298
Hometown Supermarket,8656 Wyoming St,Detroit,MI,48204,541105,Grocers-Retail,541105,Grocers-Retail,42.35778143,-83.15779504
Imperial Fresh,14424 Schaefer Hwy,Detroit,MI,48227,541105,Grocers-Retail,541105,Grocers-Retail,42.3943469,-83.1777824
Imperial Supermarket LLC,1940 E 8 Mile Rd,Detroit,MI,48234,541105,Grocers-Retail,541105,Grocers-Retail,42.43119761,-83.03950335
In & Out,21100 W Mcnichols Rd,Detroit,MI,48219,554101,Service Stations-Gasoline & Oil,554101,Service Stations-Gasoline & Oil,42.4150981,-83.2493181
Indian Village Market,8415 E Jefferson Ave,Detroit,MI,48214,541105,Grocers-Retail,541105,Grocers-Retail,42.35396893,-82.99107248
International Grocery,23689 W 7 Mile Rd,Detroit,MI,48219,541105,Grocers-Retail,541105,Grocers-Retail,42.42893625,-83.27396448
Jason Super Foods,17344 W 7 Mile Rd,Detroit,MI,48235,541105,Grocers-Retail,541105,Grocers-Retail,42.43024806,-83.21414949
Jay's Market,14555 Livernois Ave,Detroit,MI,48238,541105,Grocers-Retail,541105,Grocers-Retail,42.3956618,-83.1402936
Joliet Inc,13999 Harper Ave,Detroit,MI,48213,541105,Grocers-Retail,541105,Grocers-Retail,42.40375527,-82.96800347
Jt Produce,15700 Plymouth Rd,Detroit,MI,48227,541105,Grocers-Retail,541105,Grocers-Retail,42.3727793,-83.2002267
Kenwood Market,9400 Woodward Ave,Detroit,MI,48202,541105,Grocers-Retail,541105,Grocers-Retail,42.38440887,-83.08270107
Kim's Party Store,4342 W Vernor Hwy,Detroit,MI,48209,541105,Grocers-Retail,541105,Grocers-Retail,42.32056606,-83.09534254
Kit KAT Market,8330 Harper Ave,Detroit,MI,48213,541105,Grocers-Retail,541105,Grocers-Retail,42.3892617,-83.0175617
